French,English
partie,part
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
car,because
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
savais,knew
étaient,were
attention,Warning
affaire,case
donner,give
leurs,their
donné,given
corps,body
endroit,place
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
vieux,old
tiens,here
matin,morning
enfant,child
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
